 Procedimentos hospitalares do SUS - por local de internação - São Paulo
Valor total por Município e Ano/mês processamento
Período:Jan/2008-Mar/2021
"Município";"2008/Jan";"2008/Fev";"2008/Mar";"2008/Abr";"2008/Mai";"2008/Jun";"2008/Jul";"2008/Ago";"2008/Set";"2008/Out";"2008/Nov";"2008/Dez";"2009/Jan";"2009/Fev";"2009/Mar";"2009/Abr";"2009/Mai";"2009/Jun";"2009/Jul";"2009/Ago";"2009/Set";"2009/Out";"2009/Nov";"2009/Dez";"2010/Jan";"2010/Fev";"2010/Mar";"2010/Abr";"2010/Mai";"2010/Jun";"2010/Jul";"2010/Ago";"2010/Set";"2010/Out";"2010/Nov";"2010/Dez";"2011/Jan";"2011/Fev";"2011/Mar";"2011/Abr";"2011/Mai";"2011/Jun";"2011/Jul";"2011/Ago";"2011/Set";"2011/Out";"2011/Nov";"2011/Dez";"2012/Jan";"2012/Fev";"2012/Mar";"2012/Abr";"2012/Mai";"2012/Jun";"2012/Jul";"2012/Ago";"2012/Set";"2012/Out";"2012/Nov";"2012/Dez";"2013/Jan";"2013/Fev";"2013/Mar";"2013/Abr";"2013/Mai";"2013/Jun";"2013/Jul";"2013/Ago";"2013/Set";"2013/Out";"2013/Nov";"2013/Dez";"2014/Jan";"2014/Fev";"2014/Mar";"2014/Abr";"2014/Mai";"2014/Jun";"2014/Jul";"2014/Ago";"2014/Set";"2014/Out";"2014/Nov";"2014/Dez";"2015/Jan";"2015/Fev";"2015/Mar";"2015/Abr";"2015/Mai";"2015/Jun";"2015/Jul";"2015/Ago";"2015/Set";"2015/Out";"2015/Nov";"2015/Dez";"2016/Jan";"2016/Fev";"2016/Mar";"2016/Abr";"2016/Mai";"2016/Jun";"2016/Jul";"2016/Ago";"2016/Set";"2016/Out";"2016/Nov";"2016/Dez";"2017/Jan";"2017/Fev";"2017/Mar";"2017/Abr";"2017/Mai";"2017/Jun";"2017/Jul";"2017/Ago";"2017/Set";"2017/Out";"2017/Nov";"2017/Dez";"2018/Jan";"2018/Fev";"2018/Mar";"2018/Abr";"2018/Mai";"2018/Jun";"2018/Jul";"2018/Ago";"2018/Set";"2018/Out";"2018/Nov";"2018/Dez";"2019/Jan";"2019/Fev";"2019/Mar";"2019/Abr";"2019/Mai";"2019/Jun";"2019/Jul";"2019/Ago";"2019/Set";"2019/Out";"2019/Nov";"2019/Dez";"2020/Jan";"2020/Fev";"2020/Mar";"2020/Abr";"2020/Mai";"2020/Jun";"2020/Jul";"2020/Ago";"2020/Set";"2020/Out";"2020/Nov";"2020/Dez";"2021/Jan";"2021/Fev";"2021/Mar";"Total"
"353260 Nhandeara";31756,65;33564,27;52163,74;56367,72;64961,20;76794,15;80428,20;80526,18;77081,87;76463,86;67207,67;79136,54;73064,88;70248,00;75216,50;93743,38;92038,40;86169,73;89259,72;93152,95;87253,69;89916,75;85725,78;88177,73;88437,41;96040,28;89057,53;88227,54;84800,56;87802,75;90315,65;88500,63;87936,07;87456,44;80227,26;88617,30;76634,62;74486,68;87640,99;82589,03;67299,14;93435,43;92445,33;90259,53;84204,03;86232,60;90789,02;90435,57;87180,71;74112,46;91422,77;92839,55;90600,40;89556,48;93478,51;69518,86;95391,08;74739,20;130214,86;90340,02;83824,49;74393,38;84780,25;101233,72;96140,29;90607,91;90967,91;87938,01;85399,56;92028,59;91049,96;80480,76;88777,77;92310,07;83371,21;96295,17;101899,80;108564,22;99278,42;97736,49;106064,77;105375,88;88662,49;101249,86;85495,01;81613,64;101857,93;102181,61;102275,54;109252,72;111764,30;96300,60;97089,44;106277,26;85814,17;74258,30;83940,17;83427,21;101067,27;108840,43;94235,08;94063,75;95470,62;105880,99;85096,21;92285,51;92136,91;72541,78;82466,39;68742,62;93054,66;77435,02;84046,91;79838,16;66335,23;93924,04;97629,57;91073,40;75718,04;77197,26;69934,47;79697,33;93320,44;72856,54;77920,22;85980,65;91046,58;87865,59;68428,54;71445,14;71552,03;78989,80;71621,85;66867,72;76367,83;78730,28;87287,40;73676,30;93110,46;76326,01;73974,10;85585,97;79962,89;72337,44;86231,68;78732,73;65954,94;47637,28;45026,20;51534,23;43028,08;43296,91;46942,21;54545,66;43617,79;44930,99;43060,90;49274,95;47203,54;13108648,25
"353290 Nova Europa";12201,82;13916,39;12680,57;13123,23;12000,55;12499,57;12250,86;12345,13;8448,85;12045,67;11668,29;11238,64;12401,07;13170,26;15039,92;13765,45;16544,33;14353,17;12216,64;15704,58;14854,90;15509,30;16749,94;17448,85;15887,39;14503,45;13703,38;17381,02;17072,04;16237,17;16011,89;15097,79;15935,29;16002,90;15600,09;13106,45;11439,30;14370,84;14776,62;11678,63;16149,62;15494,48;13557,91;11341,64;14288,32;8922,68;12354,44;17304,41;11557,24;10996,43;14849,18;11147,52;15880,71;16121,83;13437,01;6517,55;20702,27;12727,95;14073,48;5254,12;14791,71;10914,02;7986,91;14659,70;7431,00;15977,21;14834,57;10376,22;15582,60;14145,04;12347,76;14086,05;15363,74;13523,41;12117,51;12711,65;13744,55;14997,64;10555,17;13276,88;14620,44;11184,50;9047,89;11409,41;13780,24;13876,47;16910,78;9814,45;10297,50;13517,90;13198,48;13113,40;15062,80;16589,42;7037,81;6932,74;15312,00;11912,02;19037,57;13349,20;8630,54;10026,23;11808,06;14441,15;8924,43;11751,56;12249,54;11362,57;11485,86;10445,67;10482,81;11173,26;15911,45;11810,80;15378,15;14595,89;8850,51;15225,60;12541,92;8359,28;18844,12;10798,13;15248,03;13183,70;11336,91;18777,30;18712,87;12659,78;16596,56;15852,60;9684,77;13220,19;20188,16;11436,27;15491,62;14464,86;14533,64;10194,54;9610,67;9193,47;15475,35;15055,30;14608,83;11374,76;7855,41;15074,97;12127,96;6269,39;6525,49;4843,82;16992,19;12081,83;8902,22;16865,10;12795,03;-;-;-;-;2031420,50
"353300 Nova Granada";166859,03;179271,70;219157,87;233852,76;216092,56;214360,01;250346,96;249881,97;225861,77;205528,48;201358,01;225603,13;173811,17;195473,19;259333,21;243246,62;239817,80;250325,22;227809,06;238007,03;268700,73;219900,83;194791,35;125441,78;81784,22;66645,61;79921,85;86265,93;89468,34;81076,68;61558,21;81612,53;99168,84;71972,72;64447,05;69840,13;87846,85;72695,37;78138,38;81385,73;72334,41;66264,15;74571,80;64129,68;53775,38;56123,22;63643,54;65358,71;62384,78;63130,59;74362,56;78663,96;94675,72;88166,79;89250,64;91268,42;84531,58;88497,26;90429,08;73310,60;58493,03;60563,52;52188,95;49106,05;38179,14;37819,24;47888,41;45116,71;41191,25;30356,13;33859,44;16048,89;25577,58;29976,19;23157,13;41703,52;39181,03;60405,80;63447,45;62945,39;53376,80;73768,45;51226,49;61174,93;48531,02;30769,43;37340,06;41767,44;46009,59;27354,29;56567,22;32700,31;34253,16;40314,57;33192,48;22933,95;27358,09;36507,56;60765,14;42862,54;44386,59;53655,02;57470,39;52782,63;50265,46;25874,48;29825,54;27135,65;24089,65;22600,52;47633,11;38199,75;48815,97;45029,64;26644,80;36342,30;61487,95;56938,45;39957,50;35902,82;43411,63;32705,37;44219,89;49204,15;47588,94;50700,69;35666,72;37792,02;33327,12;32929,10;36917,49;26642,95;26001,36;28261,19;39556,91;39086,65;43229,93;31397,17;33551,67;38657,08;36224,38;45544,81;47766,06;36320,92;40419,38;33188,46;47821,86;28332,70;22993,71;18647,04;19454,35;19344,51;25094,50;26711,86;23399,56;27186,97;33521,60;22269,75;22792,66;11842433,25
"353340 Nova Odessa";23193,40;56395,79;44217,21;59649,97;59318,67;49601,79;58800,61;61984,65;59098,49;54466,71;49495,29;58392,06;46755,63;50651,82;53205,62;59528,02;60474,23;54967,59;70869,53;71405,12;58378,78;64869,28;56145,92;52902,30;48443,82;45137,40;50422,07;70682,71;46221,00;52402,08;61567,80;49517,37;54217,10;51170,86;45371,67;52474,81;54215,54;54093,92;71435,44;75395,17;56163,12;59224,28;55820,78;47867,24;58566,67;57054,62;54057,45;50172,78;34972,06;43898,79;75565,51;47024,54;32240,60;93202,89;55357,58;67956,95;57003,15;44087,70;54596,12;43611,77;43625,78;47908,89;62383,20;59106,69;64657,27;52722,20;60303,66;70455,51;60638,48;62654,25;56570,33;47992,86;55641,20;57080,65;61415,29;54034,92;57041,32;54615,71;57191,27;48631,03;50647,16;66187,31;42698,00;46280,30;37356,64;25219,77;23396,08;47470,66;41844,11;54000,81;56749,66;58127,33;66937,35;32719,54;47166,66;42593,19;55502,29;44388,82;69137,65;72238,40;57779,17;47888,68;70208,14;58173,33;59886,19;45179,50;59618,41;55963,91;49665,76;42710,90;60675,53;57206,96;48606,56;54115,64;65941,24;51322,43;44999,72;43616,41;41347,05;47974,33;51591,88;48445,75;52907,11;58618,40;33439,66;54420,51;61914,24;49822,59;40862,32;45339,43;45192,35;43519,87;46608,74;40108,08;45209,88;57441,04;51687,33;53025,79;68281,22;50174,20;51242,49;43353,08;50665,41;44380,90;34040,45;49099,06;47932,99;40987,10;65140,97;73552,28;85743,43;74870,92;50811,60;71817,14;61518,05;64218,73;117674,58;84962,90;120524,30;8715340,71
"353350 Novo Horizonte";64535,52;100037,54;96770,48;83887,07;106869,88;101532,33;107582,59;108700,67;92101,85;95794,21;85788,71;95753,78;104987,74;101856,28;98395,06;113725,20;104368,56;102271,18;88098,12;113060,82;94402,16;96042,36;99960,00;90878,10;98554,94;90132,70;94364,79;96000,68;116767,40;96845,47;112124,86;97516,04;114343,66;89998,46;93971,40;85983,43;87157,83;106142,72;125138,80;126776,55;106293,33;94478,76;87577,30;89648,85;93597,40;87769,17;95439,60;89415,69;112031,86;85673,91;95109,81;96927,16;107691,46;118544,12;94590,28;105636,59;107711,36;104503,60;109259,86;100302,36;78800,09;83393,91;90249,69;89903,40;128081,01;130016,29;113053,50;115232,52;144131,80;102866,72;96884,09;103022,40;85866,74;89576,94;111148,09;106380,27;112012,14;113879,54;111596,06;123543,37;127972,02;116022,47;102681,90;99121,27;98821,78;88192,65;103898,95;107032,34;120359,99;114633,56;110618,33;104999,88;91316,00;111432,77;100606,86;-;83620,06;97444,49;122063,08;119475,58;120061,78;104759,60;97580,13;105671,77;99388,13;108305,20;96262,42;91235,13;80480,95;91854,69;113952,77;127054,99;121011,19;108711,67;100619,76;83897,23;74909,67;83052,64;72178,01;76618,20;62470,71;60064,61;80496,98;89107,47;94296,13;110729,47;128519,41;103536,85;118246,30;123887,38;110199,67;101102,10;137370,69;116846,93;109716,37;130416,69;162349,42;121213,18;122636,77;103319,52;109187,45;101115,10;110726,96;109207,38;112836,06;109214,93;99450,60;65648,74;91761,90;85382,09;122100,45;188972,01;420248,18;571893,35;224243,72;401366,25;466254,17;114093,74;614460,59;18373671,21
"353390 Olímpia";141157,75;121529,91;136019,90;134835,08;156107,22;161795,70;139141,60;151069,21;136442,60;145665,01;152846,15;172041,56;162017,26;165111,64;157094,14;185060,60;168442,50;176980,20;177978,75;161446,78;174205,62;191601,75;166353,64;145002,66;155031,70;181187,05;150004,41;171922,91;164317,16;181885,45;185148,10;182044,36;159298,22;171171,56;148498,18;137200,18;159275,85;138372,05;151194,35;172157,37;182050,98;167957,25;186641,44;155944,36;166135,54;160928,93;164587,65;137983,89;165711,05;140907,31;167660,03;196204,75;180321,20;190513,95;187163,59;232758,87;178642,52;180955,43;98616,26;133841,65;185682,50;127952,84;135815,19;171750,35;191008,61;165224,43;180448,37;185555,34;194360,22;186151,32;190439,19;182273,43;175334,24;170708,82;187794,56;159001,67;205323,97;194286,10;179123,86;189294,86;141539,87;188536,21;167569,99;137742,38;171311,01;138162,57;183742,58;159423,79;187416,15;175674,23;182422,31;154030,98;153071,77;145409,72;131190,36;151454,17;137525,90;108580,29;128387,63;173410,93;165621,90;162188,07;167879,82;142371,90;152100,42;165531,82;131110,37;151400,93;130069,67;140616,56;150552,27;143094,59;166500,01;200353,45;177086,49;145918,43;148756,31;136279,06;180726,46;153164,06;130135,09;103855,39;156479,56;163167,01;181605,05;195164,07;251316,99;257551,60;223032,99;204744,31;182754,38;187868,16;196208,59;200891,92;188002,78;195504,95;211694,76;194257,94;205339,30;162507,22;176852,32;162044,88;211551,72;220238,07;174678,12;251068,17;184210,01;160247,41;169951,32;148836,94;282890,47;481357,30;438755,87;515642,81;545706,28;447679,42;523264,19;474274,45;742346,66;29653316,55
"353430 Orlândia";69513,67;77977,67;105598,24;66714,37;80533,70;94101,14;97022,13;95227,13;97227,56;106427,33;94157,89;87434,17;78453,97;89206,62;99545,44;112655,99;98916,34;107821,10;102786,78;106741,99;105551,66;92476,21;87917,26;104037,72;103419,31;87224,28;104058,55;102620,06;95135,03;95794,50;100711,93;105130,89;100669,28;100006,81;106242,83;102891,41;98314,42;104103,05;105581,82;101045,82;103384,91;97146,12;111815,32;108387,93;102271,12;100894,68;102386,46;99425,93;102506,09;97233,10;98842,11;95616,02;100824,25;96693,00;94402,38;96788,34;100025,03;101413,37;98602,59;99151,74;96796,65;98230,69;96744,01;95076,04;97102,06;101386,89;95348,01;96270,92;95189,72;95592,88;95024,44;79581,88;96179,65;96857,19;96439,35;93729,85;95449,70;93697,65;80766,18;96454,82;91595,53;95329,10;93543,74;92185,94;94705,08;92905,48;95267,96;94065,29;91876,42;93950,57;101324,20;99432,55;101022,03;97420,34;96118,98;95619,31;98597,59;96071,18;95576,97;96393,37;96103,28;96359,37;96596,36;94344,31;92993,90;92088,48;91371,87;92258,40;95247,29;92637,27;91882,45;93726,64;93094,68;92354,80;92270,16;93928,58;93691,17;94314,79;92940,10;94299,83;96159,71;94643,83;94378,71;93973,32;93302,38;91842,70;93104,83;93794,17;93829,97;92848,16;94304,21;93554,69;92953,68;94151,83;91783,90;93444,91;93699,72;95076,54;92854,53;93740,50;93485,41;95650,13;95082,87;93964,72;96911,69;94817,41;93536,44;81312,85;76867,14;83658,45;91999,09;109580,03;109940,73;107827,68;99320,06;92019,84;103423,81;100063,88;99812,28;15248947,30
"353440 Osasco";674916,36;1092578,68;1472332,97;1111414,98;1088948,05;983407,94;1415680,01;1416935,70;1518322,18;1505459,51;1209570,58;1355585,66;1170003,69;1360127,41;1291296,67;1339521,52;1418714,36;1239989,54;1312829,53;1684809,26;1300976,26;1601718,89;1226454,47;1468935,90;1349723,92;1309391,98;1330536,24;1433174,31;1449691,61;1228369,03;1557507,07;1322934,41;1239346,92;1268496,09;1636884,07;1539706,65;1411898,75;1540654,49;1517132,19;1470817,29;1615350,08;1557195,17;1604351,27;1471171,96;1564524,98;1457482,10;1450943,29;1451763,22;1258615,42;1148015,69;1482349,01;1548153,09;1501752,31;1614232,45;1647978,11;1375489,78;1537462,78;1517045,31;1609503,46;1401987,66;1457367,33;1494683,99;1726010,21;1725608,01;1667891,18;1653320,02;1504915,21;1572395,12;1563587,58;1509220,86;1403925,05;1468800,55;1652713,71;1610277,54;1711222,96;1763073,69;1717028,22;1748758,43;1702026,12;1788521,15;1658589,09;1559761,95;1480924,18;1190191,54;1485887,90;1814572,89;1487681,73;1860341,35;1174094,84;1420235,95;1566013,51;1404681,51;1472767,09;1708176,47;1594407,00;1545891,32;1360537,65;1421764,13;1703961,86;1760571,28;1573221,27;1811178,09;1679586,44;1816758,66;1724705,18;1536487,07;1786541,43;1660713,98;1592198,66;1671046,61;1593537,78;1956195,57;2063085,67;1868592,00;1808923,18;1716385,52;1694048,52;1952519,17;1719660,63;1800171,15;1629585,48;1595160,37;1924150,00;1727453,05;1888444,09;1830475,88;1391254,26;1823923,62;1803406,49;1768623,58;1565210,84;1671673,09;1613376,30;1696346,76;1479691,67;1688802,40;1615127,35;1713256,12;1695304,58;1732254,71;1830767,65;1889147,89;1908835,24;1943671,77;1784550,77;1573824,57;2105087,67;2132842,91;3059524,89;2539529,47;4375913,54;3800729,41;3244860,17;3138046,45;2398272,67;2782980,76;2943161,81;3286211,30;4678804,67;267090403,28
"353460 Osvaldo Cruz";61019,34;75044,07;75417,00;84830,11;88377,04;99786,99;84294,71;81413,76;91464,69;88127,28;87949,13;91643,92;95577,37;102734,42;86275,23;92748,06;92599,61;96203,59;90873,96;94711,73;96048,00;88709,74;90065,21;90150,09;80048,44;90677,35;72425,18;95529,17;94123,99;99060,19;100594,18;93236,01;96249,29;89921,10;88370,13;102228,84;96023,71;75598,27;88451,34;75013,72;75523,32;76469,64;68405,45;72248,86;78647,86;64269,92;90866,38;66892,20;59133,56;67189,42;103720,03;82349,51;73557,77;87315,81;79126,50;92192,23;91034,35;73442,86;73172,52;69770,72;69645,02;58698,63;66088,91;73237,56;73848,63;74289,88;83080,12;82631,60;75310,74;69013,36;47241,49;59382,31;53552,67;52957,61;63732,33;61353,53;78324,78;60023,97;66480,55;56603,39;68329,19;62182,95;62549,76;51524,42;61085,11;49551,44;60423,45;74079,31;81872,38;88175,33;70640,82;79538,30;68862,75;60976,14;67636,40;60423,74;63153,70;66341,75;95534,71;74418,57;68693,46;77862,78;100563,02;77011,18;75497,08;84311,62;62888,86;64127,90;77437,15;66649,74;79645,66;87345,03;77439,15;87698,84;92560,36;88415,96;75137,90;99365,39;80099,08;84565,13;80090,23;74280,02;95476,17;87676,80;90964,01;83321,84;79595,64;85301,64;83809,58;72939,52;95197,22;102146,34;77527,90;74179,64;89335,77;93989,94;106465,62;105319,95;123210,54;112677,65;74579,35;87742,59;85755,85;76672,85;74707,28;82615,29;82009,59;54409,78;84478,85;73422,11;77681,99;70891,18;81998,43;74200,02;79330,10;81627,54;97231,91;315951,61;522524,11;13400393,91
"353470 Ourinhos";648543,03;633800,46;649422,69;651961,20;664771,53;661421,05;658040,75;657559,62;648416,38;657433,18;658931,85;795202,52;797536,56;801123,71;795247,13;796400,86;793240,67;798611,22;791641,66;802543,05;800223,36;802645,62;804457,02;804067,49;806551,70;801948,53;811280,25;806410,59;804139,73;800652,39;765732,63;818628,90;786880,94;795513,04;793684,33;793541,84;794671,27;787730,35;794774,78;812711,92;912291,99;1000093,11;1006047,76;955942,72;964616,11;971081,51;970439,58;969734,36;975115,62;961804,69;974337,22;973920,87;950500,57;959371,45;973394,13;963028,50;921591,85;916183,05;930514,79;683441,53;795037,85;905007,52;924984,29;926106,77;925321,96;903183,90;850906,20;916976,65;917151,79;914749,62;862065,19;914612,19;949057,17;847715,28;854659,65;538964,48;1050985,94;883621,32;962765,70;1034415,18;891915,00;1095885,95;898553,82;1082397,98;767496,33;905747,08;1010808,51;793973,43;965590,31;847394,17;945768,77;913891,51;924622,93;968594,00;927434,83;881263,84;877835,60;877104,67;870532,83;917629,41;880341,69;910855,95;975845,95;684095,68;1200531,17;959331,01;963751,66;946503,81;967366,45;978425,65;1063821,44;1079396,37;1068340,49;981476,32;974194,79;1106750,08;1023465,98;971080,33;1014563,02;1077356,39;1012285,90;987568,87;1159330,39;1054841,52;1044048,91;987452,62;1361071,21;1117001,86;1093314,94;1065065,76;1063515,14;2207592,59;1033914,98;1040845,22;1101447,79;1027735,37;1036428,68;1114104,15;1112395,04;1018350,32;974214,77;972263,75;1093810,61;1180382,88;991774,96;1038823,92;974504,94;1769714,04;1003069,32;1180261,22;1149729,98;1220126,19;1172346,23;1529662,18;1660353,73;1895629,83;1918540,24;1928569,20;1777539,52;153421399,83
"353475 Ouroeste";2395,90;1479,22;1242,25;5581,40;5640,31;7248,90;7629,92;8932,54;6315,98;7113,03;9458,29;6834,96;9843,46;10948,42;10582,26;11591,64;10722,14;9935,47;13255,06;12089,41;14854,44;12071,94;10485,67;9836,25;15287,51;14096,56;17557,34;14541,88;15343,73;14241,32;17924,41;18008,69;11499,94;12912,40;11933,42;10820,33;13594,38;16223,11;12705,24;5533,66;14805,68;15338,05;15404,42;14002,36;9572,47;10614,47;14126,53;991,52;12500,70;18569,11;22868,34;16369,81;13795,90;12054,95;8183,10;7925,82;17806,00;13111,64;9520,07;5815,17;6305,76;5281,82;5105,97;3776,94;2037,36;4832,75;6573,96;12960,32;9291,13;10342,91;9907,58;7106,09;6323,70;9223,65;9255,32;4593,24;8121,32;4360,70;8809,57;5045,53;6922,94;18541,23;11338,91;13974,41;8803,61;9957,60;8916,48;8578,54;6419,01;7797,35;14336,14;9652,53;15094,33;12391,91;10397,03;6533,18;10988,30;8430,82;10039,26;14958,68;8638,05;10425,57;19919,69;13357,56;24683,35;18658,56;16420,98;1524,47;14488,26;9456,46;14450,83;9996,91;20922,62;17610,90;7330,48;6030,54;11647,55;12886,78;9540,82;6591,06;17567,70;12495,40;18199,30;15032,88;13054,77;13692,09;13791,47;23589,47;22510,46;20329,38;13559,54;9134,92;15137,62;14107,12;19606,74;20265,62;18418,10;14400,38;21106,00;36279,87;26496,88;19383,88;14725,62;6122,07;15594,34;11508,19;13563,99;6138,40;4238,70;8787,33;18191,80;9536,69;7139,13;12299,87;11695,64;11733,71;-;-;-;1839033,28
"353490 Pacaembu";13450,34;18017,13;20638,00;18894,28;18991,76;11640,65;17824,20;19361,69;17944,86;20695,87;13664,53;10136,74;17421,37;20673,86;18301,45;22292,88;26170,74;23403,34;18981,42;24436,93;20255,93;21478,61;16280,10;13805,37;14723,65;19186,06;14350,64;9485,56;13783,39;12510,65;10005,65;14617,00;8647,77;4753,99;15371,90;10004,04;7822,65;13407,71;11334,80;6270,12;10311,69;9666,44;10829,36;9774,10;5446,98;9157,01;12571,39;-;18551,57;13352,59;14215,25;15993,73;10101,93;9028,09;19735,18;12914,18;6348,38;11777,08;6834,00;8226,98;11479,41;7861,05;9566,92;10279,09;11802,26;9734,34;11582,26;8075,96;6880,75;8039,27;7097,94;6328,16;6307,02;5159,20;6660,97;13472,69;6023,53;10893,06;6385,78;8896,28;4780,58;6425,83;11874,41;10287,14;7325,31;2670,22;10916,21;4971,19;10393,74;8143,72;7385,79;3660,85;3406,94;5954,66;5641,94;4369,71;4895,14;8001,98;7159,08;9637,99;6251,07;5058,48;6538,88;11591,56;8994,27;9571,44;9060,03;8377,91;5242,59;5975,78;9441,45;8584,09;7730,87;3682,00;2706,46;9129,86;5046,93;11913,69;3769,88;9043,50;6487,22;5489,78;5681,88;5649,71;3405,93;5896,61;5073,07;7517,60;7399,74;4883,60;4081,35;2928,14;3142,70;3288,79;4231,76;3016,43;5993,86;4921,79;4158,64;5621,74;6324,77;7553,94;3799,06;2831,76;3224,24;4090,86;4513,59;2689,36;4280,35;5849,91;4133,89;3567,70;2253,50;5881,03;2218,66;1841,97;6506,58;3484,01;5366,84;1483295,03
"353520 Palmeira d'Oeste";15959,35;19313,09;20118,72;13768,04;18474,38;27446,52;23097,90;20150,61;18828,32;19546,91;15998,22;18639,59;12237,71;18272,47;23969,51;31181,28;31871,39;29472,80;33190,99;30945,39;26022,63;21065,51;32343,73;20444,28;21425,76;25468,43;21304,72;22672,77;27948,55;23059,34;19604,89;22699,16;25072,67;22954,19;32938,42;32929,68;22191,90;17982,62;25568,42;22184,23;23955,06;30912,99;27311,45;30441,80;15376,03;23457,47;23201,13;16369,71;19383,91;20442,35;25084,48;19577,11;18607,98;30466,48;27399,47;24461,08;19378,68;14494,21;6582,86;23310,25;15194,54;8333,39;5513,05;9800,43;27694,33;22609,69;18113,20;15250,00;17988,24;19767,33;22041,73;15333,00;21498,55;14790,20;24110,50;27710,32;31286,03;26025,83;29226,59;26817,08;20148,23;28561,73;23256,81;22035,13;23775,39;17940,85;33118,81;27231,91;28684,20;29179,17;15819,83;22194,05;22314,96;23884,32;12193,46;17163,76;29482,97;24034,43;23715,22;20096,80;21744,02;35944,76;25357,34;22707,49;22951,24;25303,38;17138,89;18902,82;15426,96;21888,85;26316,82;29911,18;33342,05;27548,14;22839,14;20052,18;21590,63;26604,11;19878,23;21489,52;16014,95;18658,43;24178,10;16495,76;19695,41;27132,34;20492,67;21549,64;15812,07;21306,11;21424,69;22352,11;19594,50;20167,33;24528,98;28821,00;27193,28;19155,27;21546,98;20027,80;12879,65;18967,21;19976,41;15783,06;21920,79;20076,25;14428,41;4328,80;2969,36;4787,33;8527,03;7391,58;5363,16;8394,77;10506,30;4933,47;10254,07;8591,33;15070,38;3350750,18
"353530 Palmital";41222,40;41638,11;53570,20;61658,01;57105,43;57028,52;55094,64;50065,39;46825,69;54020,48;46022,72;47551,27;47138,79;51867,69;53028,21;50657,78;53805,88;67041,65;68343,06;69743,58;68474,68;54362,71;51860,79;46572,72;51745,28;50897,35;61227,37;57276,80;62508,41;57352,16;58007,24;57387,23;62693,26;58180,73;57938,38;60967,17;57965,55;59382,72;58937,26;58974,83;59247,38;48987,63;66340,94;58913,38;52546,36;61223,60;47598,74;50780,65;46815,30;51351,91;67342,39;54979,93;65431,33;54940,90;52791,62;67368,58;48041,86;68097,94;44413,69;45714,64;47307,87;45726,64;48902,21;63905,32;59681,41;58819,79;51229,47;66426,94;51879,82;55891,86;41171,79;51325,94;48168,22;74537,43;76411,81;70179,06;69490,67;73231,87;53481,70;67259,76;63427,51;60453,70;40750,84;40056,82;70992,94;52881,00;61447,16;71756,49;64906,76;70502,62;59766,03;52337,55;53510,48;47311,91;45755,38;37742,31;50863,89;52763,17;49001,61;60396,96;53594,94;65174,46;66202,68;46224,23;50110,32;38135,19;26366,33;4313,30;46719,33;42347,27;27603,36;33044,70;41114,48;56773,63;51801,01;52989,13;45041,07;51207,03;48767,32;54608,57;51353,83;38900,30;49395,10;48716,20;51776,56;60115,21;60785,66;35419,06;51997,48;28538,37;48664,32;40222,03;43471,04;43834,78;47399,52;36636,61;45391,53;36540,73;55869,97;44823,53;55110,47;36598,87;39739,30;37503,52;34858,25;52167,74;40313,87;26674,52;25968,50;40779,57;34250,11;68967,23;59777,99;59701,66;34967,33;55743,44;60427,31;52405,30;90718,40;8349389,18
"353540 Panorama";15928,86;18425,92;18530,74;19173,43;15917,63;16644,82;22436,33;28238,34;20815,09;15366,82;21788,14;14065,05;11215,67;12195,51;15958,63;12179,85;15456,03;15442,17;15535,55;12556,27;15160,08;11475,24;16964,64;17053,02;16262,60;12381,04;18097,12;16519,43;16551,51;20359,01;16661,69;16859,26;12261,69;29099,19;26603,20;22407,57;13122,05;17452,81;27964,95;12840,87;17145,91;11578,63;14337,60;21026,10;24892,04;11952,16;19843,03;49730,53;21836,06;26207,54;25130,18;25350,34;21312,19;26102,93;27180,22;20731,05;30878,92;14001,39;21197,72;8783,65;10680,99;13594,53;24050,67;24826,58;3814,07;25969,06;24137,82;20647,72;22616,96;17588,43;20755,32;17718,49;17055,72;18848,80;18826,40;19221,43;20171,49;18368,95;22712,06;21340,77;18469,79;21034,45;15953,11;17751,42;20055,81;21502,42;20188,36;24908,44;25285,59;23577,92;27509,62;19801,87;23434,35;-;-;-;20617,65;27793,78;39302,71;40307,78;30371,35;36019,70;39966,75;26101,45;31180,61;26848,02;19799,20;35113,66;32151,59;24103,23;27595,95;28524,84;33395,29;35889,95;24894,61;31180,44;29012,48;23121,36;20260,56;20083,09;27809,87;23814,52;29952,92;32696,38;31945,67;28492,44;26815,95;23347,82;22186,29;24058,59;15702,46;13441,27;-;-;-;-;-;-;-;-;8054,70;19703,79;15866,43;19596,97;14477,64;18833,39;20792,31;12709,44;16433,97;13037,14;26299,16;11921,12;13306,77;15333,16;7490,24;4249,86;14617,65;21377,21;-;3073606,60
